ID,Name,ETime,Edamage_Per,Etime_Normal,Edamage_Per_Normal,Etime_Hard,Edamage_Per_Hard
编号[int],名字(策划用),期望死亡时间/s[float],期望伤害百分比/10000[int],期望死亡时间_基础/s[float],期望伤害百分比_基础/10000[int],期望死亡时间_进阶/s[float],期望伤害百分比_进阶/10000[int]
7901,词缀用entity,1.8,1000,1.8,1000,1.8,1000
5001,魔菇,2,200,2,200,2,200
5002,毒魔菇,3,200,3,200,3,200
5003,盗虫,2,300,2,300,2,300
5004,吸血蝙蝠,5,400,5,400,5,400
5096,艾斯蜘蛛,3,500,3,500,5,800
5005,艾斯蜘蛛,10,800,10,800,20,1500
5006,毒魔菇,90,1500,90,1500,90,1500
5007,盗虫卵,0.8,200,0.8,200,0.8,200
5008,孢子,1.2,200,1.2,200,1.2,200
5013,毒魔菇,2,200,2,200,2,200
5043,毒蘑菇孢子,1,200,1,200,1,200
5042,毒蘑菇孢子,9999,200,9999,200,9999,200
5044,吸血蝙蝠,2,200,2,200,2,200
5045,毒魔菇,1.5,200,1.5,200,1.5,200
5047,毒蘑菇孢子,1,200,1,200,1,200
5206,邪骸海盗,2.25,300,2.25,300,2.25,300
5207,邪骸法师,22.5,1800,22.5,1800,25,2000
5208,邪骸士兵,3.75,1000,3.75,1000,3.75,1000
5209,邪骸弓箭手,3,500,3,500,3,500
5210,驭神队长,12,500,12,500,12,500
5211,邪骸战俘,7.5,3000,7.5,3000,7.5,3000
5212,白幽灵,1.5,300,1.5,300,1.5,300
5201,海盗之王,135,1800,135,1800,135,2200
5216,邪骸战俘,4.5,5000,4.5,3500,4.5,3500
5217,邪骸海盗,1.5,800,1.5,800,1.5,800
5218,邪骸法师,3,300,3,300,3,300
5219,邪骸弓箭手,1.5,300,1.5,150,1.5,150
5221,白幽灵,0.9,300,0.9,300,0.9,300
9801,哥布灵首领,90,1500,90,1500,90,1500
9802,克瑞米,1.5,700,1.5,700,1.5,700
9803,疯兔,1.5,700,1.5,700,1.5,700
9804,森灵,1.6,500,1.6,500,1.6,500
9805,海葵,1.3,500,1.3,500,1.3,500
9806,弓箭哥布灵,15,1500,15,1500,18,1500
9807,大斧哥布灵,15,1500,15,1500,18,1500
9808,哥布灵首领,8,1000,8,1000,8,1000
